=== T31 ===
[canon] T  [volumes] 1: ['T31']...

[volume] T31
  [files] 43
  [ok] cbeta-T38n1770: 2 juans, 30175 bytes
  [ok] cbeta-T38n1771: 1 juans, 48577 bytes
  [ok] cbeta-T38n1772: 2 juans, 136701 bytes
  [ok] cbeta-T38n1773: 1 juans, 19977 bytes
  [ok] cbeta-T38n1774: 1 juans, 122961 bytes
  [ok] cbeta-T38n1775: 10 juans, 415370 bytes
  [ok] cbeta-T38n1776: 8 juans, 529103 bytes
  [ok] cbeta-T38n1777: 6 juans, 237229 bytes
  [ok] cbeta-T38n1778: 10 juans, 771533 bytes
  [ok] cbeta-T38n1779: 10 juans, 791172 bytes
  [ok] cbeta-T38n1780: 8 juans, 283099 bytes
  [ok] cbeta-T38n1781: 6 juans, 438441 bytes
  [ok] cbeta-T38n1782: 12 juans, 596297 bytes

[summary] {"ok": 18}
=== T39 ===
[canon] T  [volumes] 1: ['T39']...

[volume] T39
  [files] 21
  [ok] cbeta-T39n1783: 2 juans, 56206 bytes
  [ok] cbeta-T39n1784: 6 juans, 177411 bytes
  [ok] cbeta-T39n1785: 6 juans, 184744 bytes
  [ok] cbeta-T39n1786: 12 juans, 421233 bytes
  [ok] cbeta-T39n1787: 1 juans, 75761 bytes
  [ok] cbeta-T39n1788: 10 juans, 853899 bytes
  [ok] cbeta-T39n1789: 8 juans, 416476 bytes
  [ok] cbeta-T39n1790: 1 juans, 41037 bytes
  [ok] cbeta-T39n1791: 10 juans, 341791 bytes
  [ok] cbeta-T39n1792: 2 juans, 38369 bytes
  [ok] cbeta-T39n1793: 1 juans, 19401 bytes
  [ok] cbeta-T39n1794: 1 juans, 32741 bytes
  [ok] cbeta-T39n1795: 4 juans, 266635 bytes
  [ok] cbeta-T39n1796: 20 juans, 1016785 bytes
  [ok] cbeta-T39n1797: 2 juans, 91048 bytes
  [ok] cbeta-T39n1798: 1 juans, 65095 bytes
  [ok] cbeta-T39n1799: 20 juans, 708778 bytes
  [ok] cbeta-T39n1800: 1 juans, 47550 bytes
  [ok] cbeta-T39n1801: 4 juans, 149257 bytes
  [ok] cbeta-T39n1802: 1 juans, 38651 bytes
  [ok] cbeta-T39n1803: 2 juans, 148817 bytes

[summary] {"ok": 21}
=== T40 ===
[canon] T  [volumes] 1: ['T40']...

[volume] T40
  [files] 17
  [ok] cbeta-T40n1804: 12 juans, 846302 bytes
  [ok] cbeta-T40n1805: 16 juans, 1432779 bytes
  [ok] cbeta-T40n1806: 3 juans, 162951 bytes
  [ok] cbeta-T40n1807: 2 juans, 146049 bytes
  [ok] cbeta-T40n1808: 2 juans, 54747 bytes
  [ok] cbeta-T40n1809: 3 juans, 103571 bytes
  [ok] cbeta-T40n1810: 3 juans, 89757 bytes
  [ok] cbeta-T40n1811: 2 juans, 94589 bytes
  [ok] cbeta-T40n1812: 3 juans, 119303 bytes
